Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Ricoh Co. Ltd,7752,"1,209,895",0.02,NA
Sunac China Hol,1918,"4,678,127",0.02,NA
Beijer Ref AB,BEIJ,"453,044",0.02,NA
Wan Hai Lines L,2615,"1,501,272",0.02,NA
Suntory Beverag,2587,"234,315",0.02,NA
Shree Cement Lt,SHREECEM,"25,105",0.02,NA
Phoenix Group H,PHNX,"1,179,878",0.02,NA
Howden Joinery ,HWDN,"1,074,532",0.02,NA
Rightmove plc,RMV,"1,338,503",0.02,NA
Formosa Petroch,6505,"2,556,580",0.02,NA
SRF Ltd,SRF,"52,608",0.02,0.00
Piramal Enterpr,PEL,"231,984",0.02,NA
Domino's Pizza ,DMP,"113,604",0.02,NA
HYBE Co. Ltd,352820,"31,940",0.02,NA
ITV plc,ITV,"6,922,559",0.02,NA
Info Edge India,NAUKRI,"134,612",0.02,NA
Mizrahi Tefahot,MZTF,"253,436",0.02,NA
Kurita Water In,6370,"205,202",0.02,NA
SEEK Ltd,SEK,"581,594",0.02,NA
Polski Koncern ,PKN,"579,200",0.02,NA
Orkla ASA,ORK,"1,435,646",0.02,NA
Qatar Islamic B,QIBK,"2,162,469",0.02,NA
Alibaba Health ,241,"8,882,719",0.02,NA
Dr Reddy's Labo,DRREDDY,"152,546",0.02,NA
Dr Sulaiman Al ,4013,"171,391",0.02,NA
Shanghai Commer,5876,"6,113,000",0.02,NA
Xinyi Glass Hol,868,"3,799,583",0.02,NA
Amundi SA,AMUN,"106,655",0.02,NA
Hongkong Land H,H78,"2,187,954",0.02,NA
Nexon Co. Ltd,3659,"776,672",0.02,NA
Daiwa House REI,8984,"3,972",0.02,NA
thyssenkrupp AG,TKA,"869,614",0.02,NA
Taiwan Mobile C,3045,"3,048,713",0.02,NA
WuXi AppTec Co,603259,"535,421",0.02,NA
Brother Industr,6448,"442,028",0.02,NA
Nabtesco Corp,6268,"211,243",0.02,NA
Berkeley Group ,BKG,"192,710",0.02,NA
CITIC Securitie,6030,"4,635,793",0.02,NA
Sino Land Co. L,83,"6,552,520",0.02,NA
Dabur India Ltd,DABUR,"977,223",0.02,NA
Nippon Shinyaku,4516,"95,713",0.02,NA
Lojas Renner SA,LREN3,"1,574,513",0.02,NA
Renault SA,RNO,"346,135",0.02,NA
Coca-Cola HBC A,CCH,"362,483",0.02,0.00
Keio Corp,9008,"216,499",0.02,NA
Nomura Real Est,3462,"8,358",0.02,NA
PSP Swiss Prope,PSPN,"81,562",0.02,NA
Tobu Railway Co,9001,"381,886",0.02,NA
Square Enix Hol,9684,"148,764",0.02,NA
Abu Dhabi Comme,ADCB,"5,170,569",0.02,NA
Rede D'Or Sao L,RDOR3,"885,317",0.02,NA
Ampol Ltd,ALD,"445,517",0.02,0.00
Mitsui Chemical,4183,"327,554",0.02,NA
Hang Lung Prope,101,"3,833,140",0.02,NA
Bank of Communi,3328,"15,626,099",0.02,NA
GPT Group,GPT,"3,652,225",0.02,0.00
China Resources,1193,"1,654,189",0.02,NA
Israel Discount,DSCT,"2,179,151",0.02,NA
Ambu A/S,AMBU,"320,204",0.02,NA
Taisei Corp,1801,"310,966",0.02,NA
Remy Cointreau ,RCO,"45,237",0.02,NA
LG Corp,3550,"152,876",0.02,NA
Signify NV,LIGHT,"237,594",0.02,NA
Siam Commercial,SCB-F,"3,220,644",0.02,NA
JD Health Inter,6618,"1,364,123",0.02,NA
Henderson Land ,12,"2,455,302",0.02,NA
Indus Towers Lt,INDUSTOWER,"2,335,254",0.02,NA
China National ,3323,"7,303,670",0.02,NA
Shin Kong Finan,2888,"23,908,986",0.02,NA
IMI plc,IMI,"492,700",0.02,0.00
Industries Qata,IQCD,"2,944,721",0.02,NA
Apollo Hospital,APOLLOHOSP,"184,755",0.02,NA
Showa Denko KK,4004,"329,236",0.02,NA
Japan Metropoli,8953,"12,789",0.02,NA
Shoprite Holdin,SHP,"923,999",0.02,NA
Faurecia SE,EO,"193,960",0.02,NA
Royal Unibrew A,RBREW,"87,324",0.02,NA
Bellway plc,BWY,"231,187",0.02,NA
Azbil Corp,6845,"244,410",0.02,NA
Petrobras Distr,BRDT3,"2,171,717",0.02,NA
Ryman Healthcar,RYM,"763,612",0.02,NA
Santen Pharmace,4536,"670,600",0.02,NA
Tsuruha Holding,3391,"68,251",0.02,NA
Metso Outotec O,MOCORP,"1,131,333",0.02,NA
Aldar Propertie,ALDAR,"7,216,329",0.02,NA
Keisei Electric,9009,"262,631",0.02,NA
IDP Education L,IEL,"339,269",0.02,NA
Samsung SDS Co,18260,"59,710",0.02,NA
Food & Life Cos,3563,"189,800",0.02,NA
GMO Payment Gat,3769,"76,035",0.02,NA
PICC Property &,2328,"12,684,470",0.02,NA
Localiza Rent a,RENT3,"1,106,264",0.02,NA
Matsumotokiyosh,3088,"210,275",0.02,NA
Samsung Fire & ,810,"60,094",0.02,NA
Royal Mail plc,RMG,"1,694,246",0.02,0.00
Win Semiconduct,3105,"767,000",0.02,NA
TOTO Ltd,5332,"270,692",0.02,NA
ASR Nederland N,ASRNL,"255,801",0.02,NA
Carl Zeiss Medi,AFX,"68,323",0.02,NA
Dai Nippon Prin,7912,"503,069",0.02,NA
Singapore Techn,S63,"2,974,593",0.02,NA
Tosoh Corp,4042,"522,842",0.02,NA
Cosan SA,CSAN3,"2,267,008",0.02,NA
Orpea SA,ORP,"90,793",0.02,NA
Unimicron Techn,3037,"2,418,975",0.02,NA
Isuzu Motors Lt,7202,"964,044",0.02,NA
Oji Holdings Co,3861,"1,644,773",0.02,NA
REA Group Ltd,REA,"79,169",0.02,NA
Contemporary Am,300750,"109,197",0.02,NA
Gulf Energy Dev,GULF-F,"8,021,940",0.02,NA
Oil & Natural G,ONGC,"5,656,515",0.02,NA
Pidilite Indust,PIDILITIND,"283,908",0.02,NA
Kobayashi Pharm,4967,"114,149",0.02,NA
Electricite de ,N/A,"739,809",0.02,NA
KGHM Polska Mie,KGH,"256,324",0.02,NA
BayCurrent Cons,6532,"25,100",0.02,NA
La Francaise de,FDJ,"161,378",0.02,NA
Banco BTG Pactu,BPAC11,"1,813,352",0.02,NA
Ayala Land Inc,ALI,"14,938,501",0.02,NA
Kansai Paint Co,4613,"361,202",0.02,NA
SBI Life Insura,SBILIFE,"785,263",0.02,NA
OZ Minerals Ltd,OZL,"604,615",0.02,NA
Schroders plc,SDR,"211,620",0.02,NA
China Tower Cor,788,"88,205,053",0.02,NA
Hikma Pharmaceu,HIK,"316,589",0.02,NA
ABN AMRO Bank N,ABN,"763,620",0.02,NA
Advantech Co. L,2395,"787,536",0.02,NA
TIS Inc,3626,"447,080",0.02,NA
Yakult Honsha C,2267,"249,498",0.02,NA
New World Devel,17,"2,689,554",0.02,NA
Cemex SAB de CV,CEMEXCPO,"14,154,677",0.02,NA
Tata Consumer P,TATACONSUM,"1,126,293",0.02,NA
Hellenic Teleco,HTO,"424,023",0.02,NA
Johnson Matthey,JMAT,"357,292",0.02,NA
Commercial Inte,COMI,"3,136,072",0.02,NA
Lifco AB,LIFCO,"421,710",0.02,NA
Adani Total Gas,ATGL,"520,542",0.02,NA
Alinma Bank,1150,"1,826,229",0.02,NA
Godrej Consumer,GODREJCP,"676,288",0.02,NA
LANXESS AG,LXS,"162,533",0.02,NA
Catcher Technol,2474,"1,408,153",0.02,NA
Tate & Lyle plc,TATE,"878,539",0.02,NA
SM Prime Holdin,SMPH,"17,027,323",0.02,NA
Ibiden Co. Ltd,4062,"202,660",0.02,NA
Asahi Intecc Co,7747,"360,767",0.02,NA
Grupo Bimbo SAB,BIMBOA,"4,219,840",0.02,NA
Tata Power Co. ,TATAPOWER,"3,787,723",0.02,NA
Castellum AB,CAST,"397,098",0.02,0.00
Orix JREIT Inc,8954,"4,898",0.02,NA
Origin Energy L,ORG,"3,294,152",0.02,0.00
Amorepacific Co,90430,"60,393",0.02,NA
Gecina SA,GFC,"96,041",0.02,NA
Mainfreight Ltd,MFT,"118,952",0.02,0.00
Trelleborg AB,TREL,"450,967",0.02,NA
Electrocomponen,ECM,"877,061",0.02,NA
Yang Ming Marin,2609,"3,109,000",0.02,NA
Postal Savings ,1658,"17,657,351",0.02,NA
Wilmar Internat,F34,"3,984,418",0.02,NA
Vifor Pharma AG,VIFN,"97,250",0.02,NA
Capcom Co. Ltd,9697,"351,470",0.02,NA
Northern Star R,NST,"2,133,201",0.02,NA
Havells India L,HAVELLS,"450,375",0.02,NA
Koito Manufactu,7276,"214,126",0.02,NA
SBI Holdings In,8473,"451,153",0.02,NA
Georg Fischer A,FI-N,"7,542",0.02,NA
Korean Air Line,3490,"327,143",0.02,NA
Banco Bradesco ,BBDC4,"3,149,189",0.02,NA
SK Bioscience C,302440,"36,973",0.02,NA
Tokyo Electric ,9501,"2,931,586",0.02,NA
Hero MotoCorp L,HEROMOTOCO,"244,218",0.02,NA
Grupo Televisa ,TLEVISACPO,"4,450,961",0.02,NA
Idemitsu Kosan ,5019,"437,143",0.02,NA
China Tourism G,601888,"256,162",0.02,NA
TOMRA Systems A,TOM,"217,151",0.02,NA
Mapletree Logis,M44U,"5,347,038",0.02,NA
Securitas AB,SECU,"583,764",0.02,0.00
BYD Co. Ltd,2594,"244,800",0.02,NA
Commerzbank AG,CBK,"1,945,281",0.02,NA
Weir Group plc,WEIR,"485,041",0.02,NA
Ryohin Keikaku ,7453,"441,046",0.02,NA
Ubisoft Enterta,UBI,"181,596",0.02,NA
China Feihe Ltd,6186,"4,925,745",0.02,NA
UPL Ltd,UPL,"994,619",0.02,NA
President Chain,2912,"1,056,904",0.02,NA
Electrolux AB,ELUX,"427,656",0.02,NA
Trend Micro Inc,4704,"228,090",0.02,NA
MonotaRO Co. Lt,3064,"439,056",0.02,NA
EMS-Chemie Hold,EMSN,"13,165",0.02,NA
Adani Transmiss,ADANITRANS,"426,861",0.02,NA
SK Inc,34730,"58,054",0.02,NA
Wharf Holdings ,4,"2,547,643",0.02,NA
POSCO,5490,"33,897",0.02,NA
Adani Green Ene,ADANIGREEN,"735,520",0.02,NA
Antofagasta plc,ANTO,"646,803",0.02,NA
Anhui Conch Cem,914,"2,382,937",0.02,NA
Galp Energia SG,GALP,"944,167",0.02,NA
Computershare L,CPU,"1,019,665",0.02,NA
Zhongsheng Grou,881,"1,203,104",0.02,NA
Vicinity Centre,VCX,"7,133,820",0.02,NA
Telecom Italia ,TIT,"21,073,460",0.02,NA
China CITIC Ban,998,"18,583,749",0.02,NA
ALS Ltd,ALQ,"893,280",0.02,NA
Concordia Finan,7186,"2,064,684",0.02,NA
Aisin Corp,7259,"324,655",0.02,NA
Celltrion Healt,91990,"132,693",0.02,NA
AngloGold Ashan,ANG,"783,553",0.02,NA
JSR Corp,4185,"337,313",0.02,NA
Press Metal Alu,PMETAL,"7,130,400",0.02,NA
Ambev SA,ABEV3,"4,534,993",0.02,NA
AVEVA Group plc,AVV,"236,767",0.02,NA
Vanguard Intern,5347,"1,707,466",0.02,NA
Dechra Pharmace,DPH,"196,192",0.02,NA
Indian Oil Corp,IOC,"5,169,553",0.02,0.00
Bollore SA,BOL,"1,793,047",0.02,NA
Charter Hall Gr,CHC,"878,001",0.02,NA
Powszechny Zakl,PZU,"1,051,685",0.02,NA
Banco do Brasil,BBAS3,"1,592,281",0.02,NA
Konami Holdings,9766,"179,519",0.02,NA
Tryg A/S,TRYG,"573,318",0.02,NA
Budweiser Brewi,1876,"3,182,133",0.02,NA
Bharat Petroleu,BPCL,"1,905,871",0.02,NA
Mazda Motor Cor,7261,"1,070,892",0.02,NA
SCOR SE,SCR,"291,802",0.02,"3,558.00"
CEZ AS,CEZ,"301,415",0.02,0.00
Nissin Foods Ho,2897,"129,522",0.02,NA
LONGi Green Ene,601012,"708,300",0.02,NA
Davide Campari-,CPR,"932,106",0.02,NA
JD Sports Fashi,JD,"922,095",0.02,NA
Baloise Holding,BALN,"83,001",0.02,NA
Hankyu Hanshin ,9042,"409,525",0.02,NA
BioMerieux,BIM,"79,847",0.02,NA
Fuji Electric C,6504,"235,966",0.02,NA
Pegatron Corp,4938,"3,860,038",0.02,NA
CITIC Ltd,267,"9,260,697",0.02,NA
Travis Perkins ,TPK,"426,907",0.02,NA
Taishin Financi,2887,"20,249,965",0.02,NA
Kawasaki Kisen ,9107,"152,400",0.02,NA
Adani Enterpris,ADANIENT,"491,917",0.02,NA
Chunghwa Teleco,2412,"2,293,207",0.02,NA
Kintetsu Group ,9041,"338,681",0.02,NA
Raia Drogasil S,RADL3,"1,995,400",0.02,NA
Grupo Elektra S,ELEKTRA,"118,387",0.02,NA
Innolux Corp,3481,"16,595,370",0.02,NA
Cipla Ltd./Indi,CIPLA,"955,571",0.02,NA
China Resources,836,"3,559,843",0.02,NA
Obayashi Corp,1802,"1,273,723",0.02,NA
Airtac Internat,1590,"275,000",0.02,NA
Zijin Mining Gr,2899,"10,646,882",0.02,NA
Kajima Corp,1812,"834,187",0.02,NA
Verbund AG,VER,"124,756",0.02,38.19
Old Mutual Ltd,OMU,"7,981,512",0.02,NA
SUMCO Corp,3436,"432,853",0.02,NA
Sofina SA,SOF,"28,505",0.02,NA
Ebara Corp,6361,"174,297",0.02,NA
Kansai Electric,9503,"1,357,301",0.02,NA
Husqvarna AB,HUSQ,"792,907",0.02,NA
Holcim Ltd,HOLN,"230,997",0.02,NA
Sagax AB,SAGA,"324,192",0.02,NA
TOPPAN Inc,7911,"526,007",0.02,NA
EDP Renovaveis ,EDPR,"447,566",0.02,NA
Hirose Electric,6806,"61,360",0.02,NA
Nokian Renkaat ,TYRES,"255,598",0.02,NA
Ping An Bank Co,1,"2,536,500",0.01,NA
CJ CheilJedang ,97950,"15,522",0.01,NA
Persol Holdings,2181,"309,891",0.01,NA
Hitachi Metals ,5486,"371,159",0.01,NA
NSK Ltd,6471,"825,158",0.01,NA
China Resources,1209,"1,075,000",0.01,NA
PeptiDream Inc,4587,"166,834",0.01,NA
Hanwha Solution,9830,"179,351",0.01,NA
Helvetia Holdin,HELN,"64,196",0.01,NA
Elekta AB,EKTA,"674,605",0.01,NA
Intouch Holding,INTUCH-F,"2,659,459",0.01,NA
Swire Pacific L,19,"964,852",0.01,NA
New China Life ,1336,"1,929,589",0.01,NA
Agricultural Ba,601288,"15,230,200",0.01,NA
Colgate-Palmoli,COLPAL,"247,806",0.01,NA
Rational AG,RAA,"6,141",0.01,NA
Commercial Bank,CBQK,"3,671,345",0.01,NA
ANA Holdings In,9202,"291,834",0.01,NA
Kunlun Energy C,135,"6,727,356",0.01,NA
Bank of Queensl,BOQ,"1,177,828",0.01,NA
Kakaku.com Inc,2371,"213,511",0.01,NA
Volvo AB,VOLV,"315,544",0.01,NA
IOI Corp. Bhd,IOICORP,"5,979,265",0.01,NA
Incitec Pivot L,IPL,"3,649,005",0.01,NA
Shizuoka Bank L,8355,"927,328",0.01,NA
Shenzhen Mindra,300760,"119,965",0.01,NA
Richter Gedeon ,RICHTER,"259,524",0.01,NA
Hera SPA,HER,"1,462,239",0.01,NA
Banco Bradesco ,BBDC3,"2,296,957",0.01,NA
International C,ICT,"2,036,325",0.01,NA
Marico Ltd,MARICO,"964,061",0.01,NA
Japan Post Bank,7182,"771,387",0.01,NA
Emaar Propertie,EMAAR,"6,599,194",0.01,NA
Hyundai Enginee,720,"135,345",0.01,NA
Sime Darby Plan,SIMEPLT,"6,710,905",0.01,NA
Orion Oyj,ORNBV,"195,018",0.01,NA
Transneft PJSC,TRNFP,"2,923",0.01,NA
a2 Milk Co. Ltd,ATM,"1,384,263",0.01,NA
Tokyo Tatemono ,8804,"365,721",0.01,NA
JB Hi-Fi Ltd,JBH,"211,198",0.01,NA
Kingsoft Corp. ,3888,"1,658,323",0.01,NA
Fuyao Glass Ind,3606,"1,268,765",0.01,NA
Itochu Techno-S,4739,"179,826",0.01,NA
Foxconn Technol,2354,"2,127,925",0.01,NA
Ansell Ltd,ANN,"239,453",0.01,0.00
Agility Public ,AGLTY,"2,294,963",0.01,NA
Guangdong Inves,270,"5,560,664",0.01,NA
Inventec Corp,2356,"5,976,064",0.01,NA
Hindustan Petro,HINDPETRO,"1,332,077",0.01,NA
Empresas COPEC ,COPEC,"910,081",0.01,NA
Laurus Labs Ltd,LAURUSLABS,"672,330",0.01,NA
WiseTech Global,WTC,"163,859",0.01,NA
ICICI Lombard G,ICICIGI,"369,960",0.01,NA
LaSalle Logipor,3466,"3,316",0.01,NA
Yamada Holdings,9831,"1,330,617",0.01,NA
IGO Ltd,IGO,"1,155,673",0.01,NA
Haidilao Intern,6862,"1,747,237",0.01,NA
SITC Internatio,1308,"2,223,534",0.01,NA
Want Want China,151,"10,100,807",0.01,NA
Samsung Enginee,28050,"294,300",0.01,NA
SCREEN Holdings,7735,"71,721",0.01,NA
Hitachi Constru,6305,"195,339",0.01,NA
Surgutneftegas ,SNGSP,"13,658,100",0.01,NA
Weichai Power C,2338,"3,758,334",0.01,NA
Jarir Marketing,4190,"108,973",0.01,NA
Genscript Biote,1548,"1,787,596",0.01,NA
Hakuhodo DY Hol,2433,"437,598",0.01,NA
MRF Ltd,MRF,"5,029",0.01,NA
Bandhan Bank Lt,BANDHANBNK,"1,482,118",0.01,NA
Banca Transilva,TLV,"9,457,531",0.01,NA
Arab National B,1080,"1,095,033",0.01,NA
Yanbu National ,2290,"417,114",0.01,NA
PI Industries L,PIIND,"135,587",0.01,NA
Skylark Holding,3197,"405,964",0.01,NA
Rinnai Corp,5947,"67,816",0.01,NA
Haitong Securit,6837,"6,468,810",0.01,NA
Tingyi Cayman I,322,"3,538,367",0.01,NA
MMC Norilsk Nic,GMKN,"21,821",0.01,NA
Auto1 Group SE,AG1,"170,449",0.01,NA
Sojitz Corp,2768,"444,306",0.01,NA
Korea Electric ,15760,"298,958",0.01,NA
Keikyu Corp,9006,"467,846",0.01,NA
Shanghai Pudong,600000,"3,850,400",0.01,NA
Voltronic Power,6409,"96,000",0.01,NA
USS Co. Ltd,4732,"380,321",0.01,NA
Petro Rio SA,PRIO3,"1,215,300",0.01,NA
ICICI Prudentia,ICICIPRULI,"675,893",0.01,NA
Compal Electron,2324,"7,906,510",0.01,NA
D'ieteren Group,DIE,"42,863",0.01,NA
Hikari Tsushin ,9435,"40,911",0.01,NA
Ipsen SA,IPN,"64,485",0.01,0.00
PTT Global Chem,PTTGC-F,"4,019,087",0.01,NA
Advance Residen,3269,"2,403",0.01,NA
Pirelli & C SPA,PIRC,"973,865",0.01,NA
Magnit PJSC,MGNT,"375,829",0.01,NA
Pou Chen Corp,9904,"4,946,125",0.01,NA
Discovery Ltd,DSY,"759,572",0.01,NA
Kojamo Oyj,KOJAMO,"362,977",0.01,NA
Kingboard Holdi,148,"1,389,313",0.01,NA
Aker BP ASA,AKRBP,"201,281",0.01,NA
Oracle Corp. Ja,4716,"63,651",0.01,NA
Tohoku Electric,9506,"877,580",0.01,NA
Mitsubishi Gas ,4182,"334,479",0.01,NA
Rubis SCA,RUI,"174,286",0.01,NA
Lotte Chemical ,11170,"27,451",0.01,NA
Coway Co. Ltd,21240,"104,728",0.01,NA
Klabin SA,KLBN11,"1,481,380",0.01,NA
Sweco AB,SWEC,"371,375",0.01,NA
Asia Cement Cor,1102,"4,451,519",0.01,NA
Saudi Kayan Pet,2350,"1,369,411",0.01,NA
Hulic Co. Ltd,3003,"672,803",0.01,NA
Uniper SE,UN01,"170,080",0.01,NA
Hong Leong Bank,HLBANK,"1,185,700",0.01,NA
Leonardo SPA,LDO,"759,005",0.01,NA
Fukuoka Financi,8354,"299,612",0.01,NA
Stanley Electri,6923,"268,740",0.01,NA
Rumo SA,RAIL3,"2,329,858",0.01,NA
Merlin Properti,MRL,"631,349",0.01,NA
Huatai Securiti,6886,"3,445,385",0.01,NA
AAC Technologie,2018,"1,295,337",0.01,NA
Woolworths Hold,WHL,"1,658,525",0.01,NA
Sodexo SA,N/A,"71,094",0.01,NA
Top Glove Corp,TOPGLOV,"9,903,900",0.01,NA
COMSYS Holdings,1721,"207,289",0.01,NA
Koei Tecmo Hold,3635,"149,450",0.01,NA
Canadian Utilit,CU,"222,203",0.01,NA
Far EasTone Tel,4904,"3,000,643",0.01,NA
Alumina Ltd,AWC,"4,760,859",0.01,NA
China Literatur,772,"754,229",0.01,NA
Aier Eye Hospit,300015,"698,086",0.01,NA
China Yangtze P,600900,"1,925,479",0.01,NA
A2A SPA,A2A,"3,055,709",0.01,NA
Sekisui House R,3309,"7,487",0.01,NA
Nikon Corp,7731,"604,499",0.01,NA
Motherson Sumi ,MOTHERSUMI,"2,250,849",0.01,NA
Embraer SA,EMBR3,"1,377,900",0.01,NA
Luzhou Laojiao ,568,"191,600",0.01,NA
Charoen Pokphan,CPIN,"13,822,364",0.01,NA
ZOZO Inc,3092,"204,856",0.01,NA
Coca-Cola Femsa,KOFUBL,"979,324",0.01,NA
Reece Ltd,REH,"491,483",0.01,NA
Nagoya Railroad,9048,"366,658",0.01,NA
Korea Shipbuild,9540,"80,435",0.01,NA
Tokyu Fudosan H,3289,"1,122,870",0.01,NA
Mapletree Indus,ME8U,"3,532,042",0.01,NA
Qantas Airways ,QAN,"1,379,821",0.01,NA
Micro-Star Inte,2377,"1,292,000",0.01,NA
Moscow Exchange,MOEX,"2,697,004",0.01,NA
Almarai Co. JSC,2280,"469,478",0.01,NA
Aluminum Corp. ,2600,"7,779,642",0.01,NA
Kyushu Railway ,9142,"297,588",0.01,NA
Ackermans & van,ACKB,"41,601",0.01,NA
Denka Co. Ltd,4061,"161,141",0.01,NA
Azrieli Group L,AZRG,"68,685",0.01,NA
Sohgo Security ,2331,"124,744",0.01,NA
Fibra Uno Admin,FUNO11,"5,618,089",0.01,NA
Giant Manufactu,9921,"570,625",0.01,NA
ICA Gruppen AB,ICA,"144,638",0.01,NA
Ganfeng Lithium,2460,"282,900",0.01,NA
GAIL India Ltd,GAIL,"3,310,327",0.01,NA
Mr Price Group ,MRP,"478,003",0.01,NA
Challenger Ltd,CGF,"1,265,092",0.01,NA
Lupin Ltd,LUPIN,"447,651",0.01,NA
Bank AlBilad,1140,"682,715",0.01,NA
Ito En Ltd,2593,"105,323",0.01,NA
Bank of Kyoto L,8369,"134,567",0.01,NA
Grupo Aeroportu,GAPB,"677,727",0.01,NA
Acciona SA,ANA,"42,463",0.01,NA
Transurban Grou,TCLXX,"569,433",0.01,NA
Sega Sammy Hold,6460,"376,468",0.01,NA
Shanghai Fosun ,2196,"1,047,566",0.01,NA
Ambuja Cements ,AMBUJACEM,"1,274,733",0.01,NA
Hyundai Steel C,4020,"140,441",0.01,NA
Gjensidige Fors,GJF,"310,472",0.01,NA
Hella GmbH & Co,HLE,"82,482",0.01,NA
Sumitomo Heavy ,6302,"211,101",0.01,NA
Pop Mart Intern,9992,"832,800",0.01,NA
United Internet,UTDI,"201,277",0.01,NA
China Minsheng ,1988,"14,074,169",0.01,NA
Air Water Inc,4088,"332,214",0.01,NA
Nedbank Group L,NED,"666,938",0.01,NA
Bajaj Auto Ltd,BAJAJ-AUTO,"130,173",0.01,NA
Novolipetsk Ste,NLMK,"2,190,647",0.01,NA
L E Lundbergfor,LUND,"138,229",0.01,NA
momo.com Inc,8454,"116,600",0.01,NA
Mitsubishi HC C,8593,"1,185,933",0.01,NA
Jiangsu Hengrui,600276,"837,418",0.01,NA
BRF SA,BRFS3,"1,351,832",0.01,NA
China Internati,3908,"2,857,227",0.01,NA
S-Oil Corp,10950,"76,540",0.01,NA
Shandong Weigao,1066,"4,345,946",0.01,NA
Zee Entertainme,ZEEL,"1,537,207",0.01,NA
Feng TAY Enterp,9910,"820,532",0.01,NA
HDFC Asset Mana,HDFCAMC,"137,665",0.01,NA
Bharat Electron,BEL,"2,042,578",0.01,0.00
Kose Corp,4922,"53,493",0.01,NA
Canopy Growth C,WEED,"453,081",0.01,NA
GF Securities C,1776,"3,109,397",0.01,NA
Growthpoint Pro,GRT,"6,402,513",0.01,NA
Hengan Internat,1044,"1,338,793",0.01,NA
Genting Singapo,G13,"11,060,590",0.01,NA
Jubilant Foodwo,JUBLFOOD,"134,537",0.01,NA
Delta Electroni,DELTA-F,"549,156",0.01,NA
Toyo Suisan Kai,2875,"170,041",0.01,NA
Central Pattana,CPN-F,"4,862,382",0.01,NA
Mapletree Comme,N2IU,"4,070,503",0.01,NA
Marui Group Co,8252,"381,063",0.01,NA
Rakus Co. Ltd,3923,"181,538",0.01,NA
Tokyo Century C,8439,"116,611",0.01,NA
Amada Co. Ltd,6113,"580,385",0.01,NA
Far Eastern New,1402,"7,378,819",0.01,NA
Minor Internati,MINT-F,"7,711,155",0.01,NA
Nan Ya Printed ,8046,"397,000",0.01,NA
Cosmos Pharmace,3349,"32,163",0.01,NA
Komercni banka ,KOMB,"138,121",0.01,NA
CK Infrastructu,1038,"1,170,059",0.01,NA
Industrial & In,3249,"3,539",0.01,NA
Parade Technolo,4966,"132,000",0.01,NA
Frasers Logisti,BUOU,"5,137,934",0.01,NA
Japan Airlines ,9201,"271,165",0.01,NA
ASM Pacific Tec,522,"578,200",0.01,NA
Samsung Life In,32830,"119,493",0.01,NA
Industrial & Co,601398,"7,461,400",0.01,NA
FUCHS PETROLUB ,FPE3,"133,993",0.01,NA
CGN Power Co. L,1816,"21,074,536",0.01,NA
Sahara Internat,2310,"665,889",0.01,NA
United Spirits ,MCDOWELL-N,"537,906",0.01,NA
Voltas Ltd,VOLTAS,"427,556",0.01,NA
TechnoPro Holdi,6028,"198,888",0.01,NA
Maxis Bhd,MAXIS,"5,120,900",0.01,NA
Mphasis Ltd,MPHASIS,"166,939",0.01,NA
Banco de Chile,CHILE,"80,849,418",0.01,NA
Yanzhou Coal Mi,1171,"3,676,861",0.01,NA
Ecopro BM Co. L,247540,"15,428",0.01,NA
PPB Group Bhd,PPB,"1,259,760",0.01,NA
Larsen & Toubro,LTI,"83,000",0.01,NA
Polyus PJSC,PLZL,"78,591",0.01,NA
Iida Group Hold,3291,"263,011",0.01,NA
Etihad Etisalat,7020,"697,393",0.01,NA
Bayerische Moto,BMW3,"100,369",0.01,NA
Huhtamaki Oyj,HUH1V,"171,344",0.01,NA
Japan Prime Rea,8955,"1,642",0.01,NA
Kuraray Co. Ltd,3405,"645,279",0.01,NA
Miura Co. Ltd,6005,"183,450",0.01,NA
Casio Computer ,6952,"400,508",0.01,NA
Venture Corp. L,V03,"552,282",0.01,NA
Shimizu Corp,1803,"1,022,134",0.01,NA
Tsingtao Brewer,168,"941,438",0.01,NA
Elia Group SA/N,ELI,"65,804",0.01,NA
Walsin Lihwa Co,1605,"5,927,000",0.01,NA
HLB Inc,28300,"163,984",0.01,NA
DLF Ltd,DLF,"1,115,395",0.01,NA
Industrial Bank,601166,"2,719,700",0.01,NA
Sinopharm Group,1099,"2,364,506",0.01,NA
Hiwin Technolog,2049,"521,765",0.01,NA
Raiffeisen Bank,RBI,"244,323",0.01,NA
LG Display Co. ,34220,"415,841",0.01,NA
Nippon Sanso Ho,4091,"265,556",0.01,NA
Chow Tai Fook J,1929,"3,267,497",0.01,NA
Toho Gas Co. Lt,9533,"165,168",0.01,NA
Foschini Group ,TFG,"594,247",0.01,NA
Glanbia plc,GL9,"361,329",0.01,NA
Haseko Corp,1808,"475,402",0.01,NA
Infrastrutture ,INW,"659,621",0.01,NA
Gerdau SA,GGBR4,"1,073,780",0.01,NA
Sino-American S,5483,"1,026,000",0.01,NA
Iwatani Corp,8088,"93,900",0.01,NA
MOL Hungarian O,MOL,"662,866",0.01,NA
Sumitomo Dainip,4506,"312,647",0.01,NA
Shriram Transpo,SRTRANSFIN,"368,067",0.01,NA
BIM Birlesik Ma,BIMAS.E,"846,915",0.01,NA
Kawasaki Heavy ,7012,"267,347",0.01,NA
Chang Hwa Comme,2801,"12,075,716",0.01,NA
