Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Volvo AB,VOLV,"2,888,998",0.12,NA
CRH plc,CRH Quick QuoteCRH,"1,398,761",0.12,11.64
Seven & i Holdi,3382,"1,437,959",0.12,NA
Fujitsu Ltd,6702,"352,239",0.12,NA
Mitsui & Co. Lt,8031,"2,976,870",0.12,NA
Eni SPA,ENI,"4,702,102",0.12,NA
Tokio Marine Ho,8766,"1,207,470",0.12,NA
Koninklijke Aho,AD,"1,833,215",0.12,NA
Vonovia SE,VNA,"1,077,093",0.12,NA
Capgemini SE,CAP,"295,227",0.12,795.00
Partners Group ,PGHN,"41,972",0.12,NA
Nippon Telegrap,9432,"2,258,349",0.12,NA
Waste Connectio,WCN Quick QuoteWCN,"492,121",0.12,19.23
Koninklijke DSM,DSM Quick QuoteDSM,"310,575",0.12,0.00
Pinduoduo Inc,PDD Quick QuotePDD,"694,655",0.12,-63.49
L'Oreal SA,OR Quick QuoteOR,"159,369",0.12,-4.61
Ashtead Group p,AHT Quick QuoteAHT,"837,297",0.12,-68.49
Telefonaktiebol,ERIC Quick QuoteERIC,"5,661,818",0.12,-7.01
Naspers Ltd,NPN,"395,500",0.12,0.00
China Merchants,3968,"7,471,341",0.11,NA
Infosys Ltd,INFY Quick QuoteINFY,"2,634,533",0.11,27.23
RELX plc,REL,"1,991,929",0.11,NA
Bayerische Moto,BMW,"607,659",0.11,NA
LG Chem Ltd,51910,"86,230",0.11,NA
Oriental Land C,4661,"349,937",0.11,NA
Astellas Pharma,4503,"3,471,316",0.11,NA
Terumo Corp,4543,"1,231,331",0.11,NA
Cie de Saint-Go,SGO,"890,351",0.11,NA
Samsung SDI Co,6400,"98,359",0.11,NA
M3 Inc,2413,"789,011",0.11,NA
Deutsche Boerse,DB1,"344,429",0.11,NA
FUJIFILM Holdin,4901,"660,326",0.11,NA
Constellation S,CSU,"36,261",0.11,57.02
Alimentation Co,ATD.B,"1,483,827",0.11,NA
Nokia Oyj,NOKIA,"10,546,146",0.11,NA
Sun Life Financ,SLF Quick QuoteSLF,"1,092,133",0.11,14.80
Suncor Energy I,SU Quick QuoteSU,"2,773,406",0.11,48.41
Ferguson plc,FERG Quick QuoteFERG,"419,349",0.11,27.35
Hindustan Unile,HINDUNILVR,"1,661,234",0.11,NA
Transurban Grou,TCL,"5,124,899",0.10,NA
Assicurazioni G,G Quick QuoteG,"2,426,808",0.10,18.53
Bank of China L,3988,"147,386,284",0.10,NA
